,name,rating,date,upvotes,review
55,AquilaSol,5,"March 8, 2016",2,Super handig! (Vooral nu ik de nachtmodus heb gevonden! :))
56,Simon Henkes,5,"March 4, 2016",1,Top
57,Kale,4,"January 28, 2016",1,"Very good app, but slow."
58,christopher osei-tutu,4,"January 18, 2016",0,It now improved
59,A Google user,5,"December 28, 2015",2,Nieuw design nog beter!
60,Jordi Agricola,5,"December 27, 2015",1,Top!
61,M. Spoor,5,"January 7, 2016",0,The best
62,A Google user,5,"December 25, 2015",1,Awesome!
63,akinaide tensaku,3,"December 29, 2015",2,"De oude versie is wat overzichtelijker. Jammer, maar hiermee moet ik het maar mee doen."
64,A Google user,5,"January 6, 2016",0,De beste ov app
65,J.W K,5,"January 4, 2016",0,Geweldige app!
66,ben van klingeren,5,"January 7, 2016",0,Beste OV app die er is
67,Wietze Visscher,5,"December 30, 2015",0,Prima update! Veel overzichtelijker. Ik gebruik deze tool meerdere keren per dag om de actuele vertrektijden van de door mij gebruikte bussen te checken.
68,Caoimhin,5,"December 27, 2015",1,Werkt perfect!
69,Daniel,5,"January 16, 2016",0,Waneer komt hij uit voor de iPhone? Echt een top app namelijk!
70,A Google user,5,"December 26, 2015",1,Fantastisch!
71,Donald,5,"December 29, 2015",0,Beste OV app
72,Koen Hendriks,5,"December 28, 2015",0,Nice
73,Louis Matthijssen,5,"December 29, 2015",0,Plausibel
74,Monique de Vos,5,"December 11, 2015",1,Stress-saver
75,Paul Kemper,5,"November 16, 2015",1,Goed nagedacht
76,Arin Roy,5,"October 23, 2015",0,The travel app to save time
77,Bubo Damen,5,"November 11, 2015",0,Fantastische app
78,Sourabh Rathi,5,"October 21, 2015",0,Great app
79,Sven Berkvens-Matthijsse,5,"July 13, 2015",0,Erg handig
80,David Hsueh,4,"September 1, 2015",0,Veel nauwkeuriger dan 9292
81,Remco ohw,5,"October 12, 2015",0,"Beste ov app, volgens mij."
82,Martin Vrieling,4,"July 1, 2015",0,Very usefull
83,Marcel XL,5,"October 6, 2015",0,Good to have this kind of real-time information while traveling by bus
84,Mohamed Elmi,5,"July 16, 2015",0,Great
85,Alexander F Bo,4,"April 30, 2015",2,ideas
86,Micha van Wijngaarden,3,"April 19, 2015",2,Useful but missing features
87,Venkatesh S,5,"April 16, 2015",0,Best public transport app ever
88,Roger Berntsen,4,"April 20, 2015",0,Handig
89,hfd hj,4,"June 21, 2015",0,Nu nog een reisplanner en dan kan hier niks tegen op!
90,Felix Mann,5,"March 16, 2015",0,Geweldige app
91,Rutger Groot,5,"April 9, 2015",0,Super
92,David Valentine,4,"March 19, 2015",0,Great
93,Steef Min,5,"December 22, 2014",1,Beste app voor ov tijden in Nederland
94,Patrick B,3,"January 9, 2015",0,"Echter als ik bij mijn halte sta, kan ik niet direct mijn lijn selecteren tov mijn halte.  Bijv RET-Metro lijn E, komt standaard met richting Slinge (terwijl ik op dat moment Den Haag CS wil zien). Daar moet ik dus een extra handeling voor doen.  Wat ik het liefste wil zien is mijn actuele halte (Bijv. Blijdorp) en de twee dicht bijzijnde metrostellen (een richting Slinge, een richting Den Haag CS. Specifieke Richting volgen is lastig).  Dit zou ik in een favoriet willen zien op de startpagina met de informatie van deze twee stellen. (op dit moment kost dat gewoon enkele klikken).  Nog mooier zou het zijn als er een widget is met een of twee haltes (wellicht op tijdsprofiel bepaald) die mij directe info geeft.  Bijv (Fictieve tijden): RET - Metrolijn E Halte Blijdorp Richting Slinge: 8:54 (Staat bij Meijersplein) Eerst volgende: 9:15 Richting Den Haag CS: 8.57 (Staat bij Beurs) Eerst volgende: 9:17  Daarmee heb ik direct alle relevant op mijn homescreen. Zeg dat 1ste entry mijn ochtend profiel is en de tweede mijn avondprofiel. Kan op basis van tijd de een of ander getoond worden.  Alle overige lijnen en metrostellen zijn voor mij op dat moment niet relevant."
95,Chetan Indolia,5,"December 31, 2014",0,Works 99% times
96,Sander van den Oever,5,"March 15, 2015",0,Best app for real-time departure times
97,Kevin,5,"December 3, 2014",0,Goed!
98,Luc Lindt,3,"January 6, 2015",0,Ok thanks!
99,frederic darbas,5,"January 21, 2015",0,Great
100,Bas Roset,5,"December 27, 2014",0,Major coolness
101,Alexey Zhiltsov,5,"November 26, 2014",0,Brilliant idea. Good impementation
102,A Google user,5,"July 10, 2014",1,Incredibly wonderful  !
103,Ari Sadarjoen,5,"January 20, 2014",1,geweldig want realtime
104,"allard jaager, de",5,"September 27, 2014",0,"geniaal    met een gevraagde aanpassing...   wil je implementeren dat wanneer je binnen het tijdschema van een bus op een halte klikt, van deze halte de verschillende vetrektijden worden getoond"
105,Kunal Gupta,5,"December 2, 2014",0,Very useful app
106,Aron Jahbird,5,"March 26, 2014",0,Te gek
107,Deep Mukherjee,4,"October 18, 2014",0,Shows correct times
108,Secondhand Antiques,5,"July 29, 2014",1,Top
109,Nils Mackay,4,"November 19, 2014",0,"Great app, realtime updates are almost always spot-on."
110,Tommy Boy,5,"August 1, 2014",0,Beter than 9292
111,calvin boeiend,5,"January 15, 2014",0,Super
112,Mike Gilhespy,5,"January 16, 2014",0,great app
113,Topuz Cetinkaya,5,"September 8, 2014",0,5 stars!
114,Tanida Ningie,5,"May 5, 2014",0,excellent very helpful
115,Mohammud Sharif,5,"April 6, 2014",0,Awesome
116,Kishan Mya,5,"November 11, 2014",0,Amazing
117,Raymond van Buren,5,"January 15, 2014",0,No equal found
118,S Donck,5,"January 14, 2014",0,Great update
119,Siddhesh Chandane,5,"December 29, 2013",1,This is a MUST have in Amsterdam
120,Billy-Jean GBerch,3,"December 24, 2013",0,Ik ben blij met die app.
121,Martijn de Kievit,5,"February 15, 2014",0,Exactly the info I like
122,Zohayr Anvarian,4,"January 2, 2014",0,Great app
123,Hendrik-Jaap in 't Veld,5,"December 1, 2013",0,Ideaal
124,Pavel Epifanov,5,"January 9, 2014",0,Very good
125,Nikki de Wagenaar,5,"November 18, 2013",0,Great app!
126,C Sourabh,5,"December 23, 2013",0,Great aap....
127,V. H.,5,"September 3, 2013",0,Handig
128,Hugo Pijl,5,"September 22, 2013",0,Geweldig
129,Henk Broekhuizen,5,"July 20, 2013",0,Simply GREAT
130,Lars Gorter,4,"May 27, 2013",0,Fine just fine :)
131,Rustam Abdullaev,4,"April 21, 2013",0,Weird.
132,Henk Broers,5,"April 6, 2013",0,Handig
133,Olivier Hokke,3,"March 14, 2013",0,Missing features
134,A Google user,5,"March 12, 2013",0,Profi app
135,M van der Wel,3,"April 6, 2013",0,I would like to know why the new permission 'read google service configuration' is required. I don't see a relationship between the new functionslity that's added since the previous version and this new permission. Aside from this I think it's a very nice app!
136,A Google user,5,"December 13, 2012",0,"App could be great, but..."
137,Ali Bijani,4,"February 23, 2013",1,Review
138,Tom Kral,5,"January 4, 2013",0,Handig en accuraat
139,A Google user,4,"March 11, 2013",0,Heel fijne app. Zou het een optie zijn om vertragingen niet zo optimistisch 'weg te werken' in de loop van het traject?
140,A Google user,4,"November 29, 2012",0,"Zeer nuttige app, het geeft complete OV data van Den Haag."
141,Andor van Breemen,5,"January 4, 2013",0,Super!
142,Niels van Dijk,5,"March 13, 2013",0,Sweet!
143,Jerry Norbury,5,"December 13, 2012",0,Love it.
144,A Google user,5,"November 17, 2012",1,"Als men ooit een app zoekt die het belang van open data bewijst dan is het deze wel.  Immers, wat is het ergste van het openbaar vervoer: het wachten op een halte zonder dat je weet of en zo ja hoe laat die bus of tram komt. Met deze app is die ellende voorbij, je ziet of je bus/tram onderweg is en hoeveel haltes 'ie nog te gaan heeft. Hier in Amsterdam is prachtig dat je terwijl je al in een tram/bus zit veel beter kunt besluiten welke volgende tram of bus je neemt, immers je kunt vaak tussen alternatieve overstapplekken en -lijnen kiezen. Ofwel deze app zorgt er voor dat je zelf het OV kunt managen, in plaats van dat je door het OV wordt geprocessed.  En dat is forse winst!  Jammer dat de 'nog niet zo opene' data-eigenaren het nu nog onmogelijk maken de data ook te gebruiken voor een echte route/reisplanner. Dat zou helemaal ideaal zijn: de OV 'TomTom' die steeds opnieuw kan berekenen wat de snelste route is."
145,A Google user,5,"October 24, 2012",0,Top: handig en accuraat
146,A Google user,5,"November 20, 2012",0,Fantastisch
147,A Google user,3,"November 21, 2012",0,Good
148,Wouter Halswijk,5,"November 29, 2012",0,Just Works
149,A Google user,4,"October 17, 2012",0,Nice little app
150,A Google user,5,"September 28, 2012",1,6 stars!
151,A Google user,5,"September 16, 2012",1,Perfect
152,A Google user,4,"September 30, 2012",0,Very goo app
153,A Google user,5,"August 31, 2012",1,ovinfo beta
154,A Google user,5,"September 3, 2012",1,Goed en handig
155,A Google user,5,"May 23, 2012",0,Super
156,A Google user,4,"February 23, 2012",0,"Heel goede app, zeker na de recente update. Geeft de info snel. Wat een verschil met de 9292 app. Snelkoppelingen zijn zeer praktisch als je forenst."
157,A Google user,5,"November 8, 2012",0,Eindelijk
158,A Google user,2,"April 2, 2012",0,Mist info
159,A Google user,5,"April 2, 2012",0,Nu Rotterdam nog
160,A Google user,5,"March 12, 2012",0,Perfect!
161,A Google user,1,"February 17, 2012",0,Waardeloos
162,A Google user,4,"January 13, 2012",1,Good but
163,Joris Snellenburg,5,"June 8, 2014",0,A must have for the daily commuter
164,Sander N.,1,"December 10, 2013",0,Bevat popup reclame
165,Gaius Octavius,4,"March 9, 2017",0,prima werkende app alleen de routekaart is niet echt praktisch. voertuigen niet goed te zien waar ze rijden ook niet wanneer gps aanzet.
166,A Google user,5,"September 9, 2012",0,No
167,A Google user,4,"April 14, 2018",0,Maybe can add how many minutes to walk from our house
168,louis beuving,5,"July 12, 2018",0,Goeie app werkt zoals het moet werken 👍
169,A Google user,1,"September 11, 2012",0,Jammer!
170,A Google user,5,"October 30, 2012",0,Accurate tijden
171,Pranab Kumar Das,5,"March 14, 2015",0,Very very nice App .I like its.
172,G&amp;B,5,"April 30, 2018",0,Always faster than GVB!
173,Florin Fira,5,"October 24, 2018",0,Top!
174,Mariappan Muthusamy,5,"January 20, 2016",0,Very useful...
175,A Google user,5,"October 29, 2012",0,Amazing!!!
