,name,rating,date,upvotes,review
73,Cristina Rubio,5,"October 25, 2014",0,Very helpful
74,AERO DYN,5,"December 30, 2013",1,Buena app
75,Michael Papalamprou,5,"April 24, 2014",1,Perfect
76,Alexis FernÃ¡ndez Rubio,5,"May 21, 2014",0,Visca!
77,Ger PG,5,"December 30, 2013",1,6 estrellas
78,Alejandro cortina,5,"December 22, 2013",0,La mejor app!!!
79,A Google user,5,"September 3, 2014",0,Great app
80,A Google user,5,"April 5, 2014",0,It help for catch the bus.
81,citizen kiu,5,"December 11, 2013",0,excelente!
82,Chris Kunigenas,5,"August 10, 2013",0,Now with a widget!
83,Margaret Rymer,2,"August 20, 2013",0,Lento
84,Pau Rodriguez-Estivill,5,"October 22, 2013",0,nice app with much features
85,Joshua Zamrycki,4,"June 6, 2013",0,Useful
86,Azadeh Faridi,5,"July 12, 2013",0,Perfect!
87,Zabeth Baehren,5,"April 9, 2013",0,A must-have for Barcelonians
88,Dori Rodriguez,1,"February 15, 2017",0,Las dos veces que la he usado me ha dado informacion erronea de los tiempos de espera que me han hecho perder los autobuses que necesitaba. Me la he desinstalado
89,Hsiao-Wen Feng,5,"June 27, 2013",0,Wonderful app
90,Valeria Azuriz-Cannella,5,"April 4, 2013",0,Simple y practico
91,Boogie Bush,4,"January 27, 2017",0,No milt exacte...
92,pornoz aaas,5,"November 1, 2017",0,Wery goooood ðŸŽƒðŸŽƒðŸŽƒðŸŽƒðŸ’‹ðŸ’‹ðŸ’‹ðŸ’‹ðŸ’‹â¤â¤â¤â¤
